,CODI_ID,PAGE_NUM,STYLE,DATE,VIEWS,TAG1,MODEL,CODI_IMG
0,35815,1,아메리칸 캐주얼,23.09.27,조회 607,스포티 바이브,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114433600000092235.jpg
1,36233,1,아메리칸 캐주얼,23.09.27,조회 587,시티보이 룩,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092516021900000024713.jpg
2,36228,1,아메리칸 캐주얼,23.09.27,조회 839,아메리칸 캐주얼,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092516001200000055711.jpg
3,36082,1,아메리칸 캐주얼,23.09.21,조회 430,오버올 스타일,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091910272400000003423.jpg
4,36081,1,아메리칸 캐주얼,23.09.21,조회 925,프레피 룩,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091910241300000087741.jpg
5,36071,1,아메리칸 캐주얼,23.09.18,"조회 1,360",아메카지 조합,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811335800000020350.jpg
6,36000,1,아메리칸 캐주얼,23.09.14,조회 492,힙스러워!,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023091415094600000074767.jpg
7,35995,1,아메리칸 캐주얼,23.09.14,조회 438,돋보이는 아메카지,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023091414574200000073685.jpg
8,35731,1,아메리칸 캐주얼,23.09.14,조회 288,[24SS 시즌 프리뷰] ARTISANAL TOUCH,모델 : 장다니엘,//image.msscdn.net/images/style/list/l_3_2023090816183100000019448.jpg
9,35648,1,아메리칸 캐주얼,23.09.11,"조회 1,028",[윤애리 스타일리스트] 와이드 실루엣,모델 : 김태용,//image.msscdn.net/images/style/list/l_3_2023090715482900000023712.jpg
10,35808,1,아메리칸 캐주얼,23.09.11,조회 532,아메카지 룩,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114273300000014688.jpg
11,35566,1,아메리칸 캐주얼,23.09.04,조회 325,아메카지 스타일,모델 : 이주한,//image.msscdn.net/images/style/list/l_3_2023090115203300000074057.jpg
12,35558,1,아메리칸 캐주얼,23.09.04,조회 414,캠퍼스 룩의 정석,모델 : 이주한,//image.msscdn.net/images/style/list/l_3_2023090115154500000040688.jpg
13,35270,1,아메리칸 캐주얼,23.08.30,"조회 1,269",아메카지 무드,모델 : 신현승,//image.msscdn.net/images/style/list/l_3_2023082819042800000056935.jpg
14,35405,1,아메리칸 캐주얼,23.08.24,조회 872,바시티 재킷 입는 법,모델 : 조지,//image.msscdn.net/images/style/list/l_3_2023082322481300000050506.jpg
15,35305,1,아메리칸 캐주얼,23.08.21,조회 506,미니멀 아메카지,모델 : 박재연,//image.msscdn.net/images/style/list/l_3_2023082115361300000074125.jpg
16,35274,1,아메리칸 캐주얼,23.08.16,"조회 1,046",남다른 아웃핏,모델 : 신현승,//image.msscdn.net/images/style/list/l_3_2023081600250600000076124.jpg
17,35003,1,아메리칸 캐주얼,23.08.04,조회 640,페스티벌 패피,모델 : 벤자민,//image.msscdn.net/images/style/list/l_3_2023080119353800000000527.jpg
18,34911,1,아메리칸 캐주얼,23.07.28,"조회 1,756",뉴트럴 톤,모델 : 김경준,//image.msscdn.net/images/style/list/l_3_2023072712564900000019533.jpg
19,34916,1,아메리칸 캐주얼,23.07.27,조회 856,센스 있는 아메카지,모델 : 안지우,//image.msscdn.net/images/style/list/l_3_2023072714275200000084356.jpg
