,CODI_ID,PAGE_NUM,STYLE,DATE,VIEWS,TAG1,MODEL,CODI_IMG
0,36340,1,캐주얼,23.10.06,조회 155,데일리로 좋아,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510123600000035397.jpg
1,36335,1,캐주얼,23.10.06,조회 74,개성 넘쳐,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100509594600000041116.jpg
2,36329,1,캐주얼,23.10.04,조회 554,데님 셋업,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411342200000025253.jpg
3,36327,1,캐주얼,23.10.04,조회 337,시선 집중!,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411321000000018290.jpg
4,36326,1,캐주얼,23.10.04,조회 381,데일리 캐주얼,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411311000000098431.jpg
5,36325,1,캐주얼,23.10.04,조회 364,스타디움 연출법,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411300600000066763.jpg
6,36324,1,캐주얼,23.10.04,조회 249,캐주얼하게,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411285500000057319.jpg
7,36288,1,캐주얼,23.10.02,조회 525,[이동연 스타일리스트] 멋스럽게,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618181300000046447.jpg
8,36286,1,캐주얼,23.10.02,"조회 1,675",[이동연 스타일리스트] 남다른 아웃핏,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618170000000082615.jpg
9,36285,1,캐주얼,23.10.02,조회 561,[이동연 스타일리스트] 스타일리시하게,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618161300000081493.jpg
10,36284,1,캐주얼,23.10.02,조회 297,[이동연 스타일리스트] 패턴 포인트,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618154600000013653.jpg
11,36283,1,캐주얼,23.10.02,조회 517,[이동연 스타일리스트] 레이어링 연출,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618151400000006984.jpg
12,36282,1,캐주얼,23.10.02,조회 647,[이동연 스타일리스트] 환절기 아우터,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618144600000088081.jpg
13,36280,1,캐주얼,23.10.02,조회 402,[이동연 스타일리스트] 패셔너블,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618135200000076581.jpg
14,36273,1,캐주얼,23.10.02,조회 973,[정진아 스타일리스트] 이렇게 입어줘,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618100400000059013.jpg
15,36250,1,캐주얼,23.10.02,조회 438,[정설 스타일리스트] 쿨 캐주얼 룩,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092609224800000035241.jpg
16,36247,1,캐주얼,23.10.02,조회 496,[정설 스타일리스트] 데일리 웨어,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092609125300000055251.jpg
17,36258,1,캐주얼,23.09.29,조회 464,레이어드 코디,모델 : 양지윤,//image.msscdn.net/images/style/list/l_3_2023092616335800000066554.jpg
18,36003,1,캐주얼,23.09.27,조회 603,가을 보더 룩,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023091415180300000003456.jpg
19,36309,1,캐주얼,23.09.27,조회 916,조화로워,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092713002300000026258.jpg
20,36308,1,캐주얼,23.09.27,조회 763,돋보이는 스타일,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712552400000088265.jpg
21,36307,1,캐주얼,23.09.27,조회 819,환절기 룩으로 제격,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712542900000069917.jpg
22,36306,1,캐주얼,23.09.27,"조회 1,482",오버 핏 실루엣,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712494500000024907.jpg
23,36305,1,캐주얼,23.09.27,조회 362,매력 있게,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712464800000068569.jpg
24,36304,1,캐주얼,23.09.27,조회 617,HIP!,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712453900000087510.jpg
25,36303,1,캐주얼,23.09.27,조회 839,데일리 캐주얼,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712451400000098533.jpg
26,36302,1,캐주얼,23.09.27,조회 499,체크 패턴 즐기기,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712444900000099397.jpg
27,36301,1,캐주얼,23.09.27,조회 549,브라운 포인트,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712431600000010673.jpg
28,36300,1,캐주얼,23.09.27,조회 486,편안한 가을 룩,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712420800000096162.jpg
29,36299,1,캐주얼,23.09.27,"조회 1,013",캐주얼한 무드,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712400500000090309.jpg
30,36298,1,캐주얼,23.09.27,조회 416,톤 다운 연출,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712382200000095189.jpg
31,36297,1,캐주얼,23.09.27,조회 701,매일 입기 좋아,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712305100000028006.jpg
32,36296,1,캐주얼,23.09.27,조회 308,손이 가는 조합,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712271300000046078.jpg
33,36293,1,캐주얼,23.09.27,조회 354,심플한 아웃핏,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092711594100000008053.jpg
34,36292,1,캐주얼,23.09.27,조회 765,깔끔하게 멋 내기,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092711581700000067482.jpg
35,36290,1,캐주얼,23.09.27,조회 466,데님 재킷 코디,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712284300000002979.jpg
36,36234,1,캐주얼,23.09.27,조회 359,환절기 캐주얼,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092516024200000060020.jpg
37,36227,1,캐주얼,23.09.27,조회 390,데일리 캐주얼,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092515593800000002709.jpg
38,36225,1,캐주얼,23.09.27,조회 422,톤온톤 연출,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092515582800000003926.jpg
39,36220,1,캐주얼,23.09.27,조회 405,감각적인 조합,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092515530900000084616.jpg
40,36215,1,캐주얼,23.09.27,조회 954,바시티 재킷 활용법,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092515410500000019689.jpg
41,36199,1,캐주얼,23.09.25,조회 632,[윤애리 스타일리스트] 꾸안꾸 치트키,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092214550100000087980.jpg
42,36197,1,캐주얼,23.09.25,조회 551,[윤애리 스타일리스트] 레이어드 맛집,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092214454400000095741.jpg
43,36194,1,캐주얼,23.09.25,조회 686,[윤애리 스타일리스트] 웨스턴 캐주얼 무드,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092214372500000031372.jpg
44,36188,1,캐주얼,23.09.25,조회 457,[윤애리 스타일리스트] 데님의 계절,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092214200800000061354.jpg
45,36185,1,캐주얼,23.09.25,조회 513,[정진아 스타일리스트] 레이어링 코디,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092211502300000002153.jpg
46,36183,1,캐주얼,23.09.25,조회 667,[정진아 스타일리스트] 믹스 매치,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092211443000000004700.jpg
47,36179,1,캐주얼,23.09.25,조회 698,[정진아 스타일리스트] 라이징 스타일,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092211360700000088561.jpg
48,36136,1,캐주얼,23.09.25,조회 489,[정설 스타일리스트] 환절기 아이템,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092111233400000054351.jpg
49,36132,1,캐주얼,23.09.25,"조회 2,378",[정설 스타일리스트] 확실한 포인트,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092111095200000088193.jpg
50,36209,1,캐주얼,23.09.22,조회 701,매력 있어,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092215561200000045889.jpg
51,36208,1,캐주얼,23.09.22,조회 642,레더 재킷 활용법,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092215533900000090136.jpg
52,36207,1,캐주얼,23.09.22,조회 511,남다른 센스,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092215500900000088577.jpg
53,36206,1,캐주얼,23.09.22,"조회 1,093",캐주얼하게,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092215320600000009054.jpg
54,36205,1,캐주얼,23.09.22,조회 288,그래픽 즐기기,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092215200500000004039.jpg
55,36203,1,캐주얼,23.09.22,"조회 1,513",개성 있게,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092215060300000050023.jpg
56,36202,1,캐주얼,23.09.22,조회 827,멋스러운 연출,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092215021900000022522.jpg
57,36201,1,캐주얼,23.09.22,조회 446,가을 색감,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092214584000000025020.jpg
58,36200,1,캐주얼,23.09.22,조회 619,한 끗 포인트,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092214555600000041104.jpg
59,36195,1,캐주얼,23.09.22,조회 577,훈훈한 분위기,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092214380900000088908.jpg
60,36193,2,캐주얼,23.09.22,조회 657,편하게 멋 내기,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092214351800000032031.jpg
61,36187,2,캐주얼,23.09.22,조회 669,캐주얼 무드,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092212175400000076014.jpg
62,36180,2,캐주얼,23.09.22,조회 537,데일리 캐주얼,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092211362000000044597.jpg
63,36178,2,캐주얼,23.09.22,조회 424,전통의 미,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092211334200000089090.jpg
64,36173,2,캐주얼,23.09.22,조회 615,일상 속 한복,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092210520500000083746.jpg
65,36170,2,캐주얼,23.09.22,조회 637,생활한복 코디,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092209511400000014713.jpg
66,36166,2,캐주얼,23.09.22,조회 626,핑크 포인트,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117392500000093167.jpg
67,36165,2,캐주얼,23.09.22,조회 475,올 블랙 패션,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117373700000026746.jpg
68,36163,2,캐주얼,23.09.22,조회 597,분위기 있어,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117331000000055365.jpg
69,36161,2,캐주얼,23.09.22,조회 692,데일리 추천,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117243900000058231.jpg
70,36154,2,캐주얼,23.09.22,조회 567,가을 무드,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117092500000079958.jpg
71,36153,2,캐주얼,23.09.22,조회 258,캠핑 룩으로 어때?,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117063700000076952.jpg
72,36152,2,캐주얼,23.09.22,조회 238,편안해 보여,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117042900000036105.jpg
73,36097,2,캐주얼,23.09.20,조회 796,가벼운 캠퍼스 룩,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091911194800000034979.jpg
74,36093,2,캐주얼,23.09.20,조회 753,가을 데일리 룩,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091911074400000056102.jpg
75,36092,2,캐주얼,23.09.20,조회 413,뉴트럴 색감,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091911022700000074611.jpg
76,36090,2,캐주얼,23.09.20,조회 777,손쉽게 멋 내기,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091910555900000095914.jpg
77,36119,2,캐주얼,23.09.20,"조회 1,447",꾸안꾸 코디,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012360800000086539.jpg
78,36118,2,캐주얼,23.09.20,조회 445,가을 니트 스타일,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012325400000006497.jpg
79,36117,2,캐주얼,23.09.20,조회 535,그래픽 포인트,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012315900000070603.jpg
80,36116,2,캐주얼,23.09.20,조회 408,트렌디한 골퍼 룩,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012311200000016515.jpg
81,36115,2,캐주얼,23.09.20,"조회 1,146",데님이 좋아,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012295900000081080.jpg
82,36113,2,캐주얼,23.09.20,조회 747,스웨트셔츠 코디,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012275800000004735.jpg
83,36112,2,캐주얼,23.09.20,조회 282,컬러 포인트,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012265100000001708.jpg
84,36111,2,캐주얼,23.09.20,조회 313,데일리한 연출법,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012245600000005199.jpg
85,36110,2,캐주얼,23.09.20,조회 609,캐주얼하게,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012232400000053872.jpg
86,36109,2,캐주얼,23.09.20,조회 493,가벼운 가을 룩,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012211200000049779.jpg
87,36108,2,캐주얼,23.09.20,조회 660,편안한 아웃핏,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012174100000043156.jpg
88,36107,2,캐주얼,23.09.20,조회 292,돋보이는 코디,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012164600000006647.jpg
89,36105,2,캐주얼,23.09.20,조회 495,체크 패턴 포인트,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012141500000041503.jpg
90,36104,2,캐주얼,23.09.20,조회 478,경쾌한 무드,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012130300000072407.jpg
91,36101,2,캐주얼,23.09.20,조회 794,캠퍼스 룩으로 제격,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012080700000065168.jpg
92,35992,2,캐주얼,23.09.18,조회 747,[이동연 스타일리스트] 남다른 센스,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091317170400000089835.jpg
93,35990,2,캐주얼,23.09.18,조회 684,[이동연 스타일리스트] 개성 만점,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091317093300000017102.jpg
94,35989,2,캐주얼,23.09.18,조회 975,[이동연 스타일리스트] 데일리 무드,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091317051600000028986.jpg
95,35988,2,캐주얼,23.09.18,조회 873,[이동연 스타일리스트] 특별한 아웃핏,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091317015300000098792.jpg
96,35985,2,캐주얼,23.09.18,조회 613,[이동연 스타일리스트] 디테일 더하기,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091316480700000083173.jpg
97,35983,2,캐주얼,23.09.18,조회 976,[정설 스타일리스트] 남친 룩의 표본,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091316395600000061086.jpg
98,35981,2,캐주얼,23.09.18,"조회 1,162",[정설 스타일리스트] 훈훈한 분위기,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091316322100000034829.jpg
99,35978,2,캐주얼,23.09.18,조회 423,[정설 스타일리스트] 셋업 활용법,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091316192300000011723.jpg
100,35976,2,캐주얼,23.09.18,조회 404,[정설 스타일리스트] 확실한 포인트,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091316103500000027222.jpg
101,35922,2,캐주얼,23.09.18,조회 530,[윤애리 스타일리스트] 가을 내음 물씬!,모델 : 한경현,//image.msscdn.net/images/style/list/l_3_2023091220365500000095052.jpg
102,35918,2,캐주얼,23.09.18,조회 376,[정진아 스타일리스트] 완벽한 레이어드,모델 : 한경현,//image.msscdn.net/images/style/list/l_3_2023091220215800000055989.jpg
103,35913,2,캐주얼,23.09.18,조회 407,[정진아 스타일리스트] 뉴트럴 컬러 조합,모델 : 한경현,//image.msscdn.net/images/style/list/l_3_2023091220053100000047692.jpg
104,36079,2,캐주얼,23.09.18,조회 763,매력 있어,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811475400000031019.jpg
105,36077,2,캐주얼,23.09.18,조회 429,강렬한 포인트,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811445100000048606.jpg
106,36076,2,캐주얼,23.09.18,조회 764,모노톤 코디,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811432200000052047.jpg
107,36075,2,캐주얼,23.09.18,조회 537,레이어드 포인트,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811414900000090140.jpg
108,36074,2,캐주얼,23.09.18,조회 518,캠퍼스 룩,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811402600000075070.jpg
109,36072,2,캐주얼,23.09.18,"조회 3,803",힙하게,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811355200000085952.jpg
110,36065,2,캐주얼,23.09.18,조회 439,개성 있게,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811222000000057881.jpg
