,CODI_ID,PAGE_NUM,STYLE,DATE,VIEWS,TAG1,MODEL,CODI_IMG
0,36381,1,시크,23.10.06,조회 187,유니크한 조합,모델 : 신은지,//image.msscdn.net/images/style/list/l_3_2023100612574900000027570.jpg
1,36342,1,시크,23.10.06,조회 99,블랙의 매력,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510184400000028342.jpg
2,36341,1,시크,23.10.06,조회 122,모노톤 연출,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510155200000091602.jpg
3,36339,1,시크,23.10.06,조회 125,멋스러운 조합,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510102900000099557.jpg
4,36338,1,시크,23.10.06,조회 166,레이어드 패션,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510080500000060482.jpg
5,36337,1,시크,23.10.06,조회 156,미니스커트 활용법,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510054100000024364.jpg
6,36334,1,시크,23.10.06,조회 101,트렌디하게,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100509573100000010065.jpg
7,36333,1,시크,23.10.06,조회 112,포인트 디테일,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100509520800000080527.jpg
8,36332,1,시크,23.10.06,조회 94,독보적 무드,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100509491000000025789.jpg
9,36319,1,시크,23.10.04,조회 253,트위드 패션,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411211500000067157.jpg
10,36314,1,시크,23.10.04,조회 344,시크하게,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411151500000097216.jpg
11,36254,1,시크,23.10.02,조회 410,[정설 스타일리스트] 카리스마 넘쳐,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092609335500000086283.jpg
12,36253,1,시크,23.10.02,조회 485,[정설 스타일리스트] 트렌디 아웃핏,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092609310100000022873.jpg
