,CODI_ID,PAGE_NUM,STYLE,DATE,VIEWS,TAG1,MODEL,CODI_IMG
0,36328,1,댄디,23.10.04,"조회 1,510",훈훈하게 완성,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411331200000005577.jpg
1,36323,1,댄디,23.10.04,"조회 1,044",남친 룩의 정석,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411262300000037162.jpg
2,36322,1,댄디,23.10.04,조회 300,매력 있어,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411250700000041219.jpg
3,36321,1,댄디,23.10.04,"조회 1,172",뉴트럴 톤 무드,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411234500000014399.jpg
4,36320,1,댄디,23.10.04,조회 655,깔끔하게,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411224300000088072.jpg
5,36318,1,댄디,23.10.04,조회 945,레더의 계절,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411200800000074839.jpg
6,36317,1,댄디,23.10.04,조회 546,와이드한 매력,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411184700000060659.jpg
7,36316,1,댄디,23.10.04,조회 408,컬러 포인트 룩,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411173300000046267.jpg
8,36315,1,댄디,23.10.04,조회 488,레이어드 조합,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411162700000044115.jpg
9,36313,1,댄디,23.10.04,조회 240,환절기 스타일링,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411140700000028494.jpg
10,36312,1,댄디,23.10.04,조회 272,레더 재킷 활용법,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411125300000012177.jpg
11,36311,1,댄디,23.10.04,조회 372,데이트 코디,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411114800000082481.jpg
12,36310,1,댄디,23.10.04,조회 200,스카프 포인트,모델 : 김준수,//image.msscdn.net/images/style/list/l_3_2023100411051500000088689.jpg
13,36281,1,댄디,23.10.02,조회 826,[이동연 스타일리스트] 트렌드 아이템,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618142100000087333.jpg
14,36279,1,댄디,23.10.02,"조회 1,099",[정진아 스타일리스트] 가을 뉴트럴 룩,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618130400000070788.jpg
15,36277,1,댄디,23.10.02,"조회 1,007",[정진아 스타일리스트] 코트 스타일링,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618121300000031823.jpg
16,36276,1,댄디,23.10.02,"조회 1,297",[정진아 스타일리스트] 비즈니스 캐주얼,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618113400000076961.jpg
17,36275,1,댄디,23.10.02,조회 826,[정진아 스타일리스트] 적절한 디테일,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618110400000011191.jpg
18,36274,1,댄디,23.10.02,조회 742,[정진아 스타일리스트] 워너비 코디,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618103400000090988.jpg
19,36271,1,댄디,23.10.02,조회 504,[정진아 스타일리스트] 데님 활용법,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618090400000077918.jpg
20,36270,1,댄디,23.10.02,"조회 1,155",[정진아 스타일리스트] 댄디 무드,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618081600000090555.jpg
21,36294,1,댄디,23.09.27,조회 545,쿨한 매치,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712004100000086904.jpg
22,36232,1,댄디,23.09.27,조회 487,웨스턴 무드,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092516015300000059243.jpg
23,36223,1,댄디,23.09.27,조회 260,멋스러운 레이어드,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092515573000000042597.jpg
24,36222,1,댄디,23.09.27,조회 488,주말 데이트 룩,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092515570400000031641.jpg
25,36216,1,댄디,23.09.27,조회 446,유니크한 매치,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092515435000000061108.jpg
26,36139,1,댄디,23.09.25,조회 604,[정설 스타일리스트] 모노톤 조합,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092111323000000024032.jpg
27,36138,1,댄디,23.09.25,조회 493,[정설 스타일리스트] 미니멀한 연출,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092111292400000036428.jpg
28,36135,1,댄디,23.09.25,조회 380,[정설 스타일리스트] 바시티 연출법,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092111194900000004976.jpg
29,36172,1,댄디,23.09.22,조회 347,유니크한 한복,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092210144200000040835.jpg
30,36171,1,댄디,23.09.22,조회 669,모던 한복 스타일,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092209583700000000684.jpg
31,36106,1,댄디,23.09.20,"조회 1,150",매일 입기 좋아,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012152900000071347.jpg
32,36103,1,댄디,23.09.20,조회 650,실패 없는 조합,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012112900000085617.jpg
33,36102,1,댄디,23.09.20,"조회 1,358",심플한 실루엣,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012092600000061518.jpg
34,36100,1,댄디,23.09.20,"조회 1,460",모던한 스타일,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012065400000055927.jpg
35,35994,1,댄디,23.09.18,"조회 1,039",[이동연 스타일리스트] 트렌드 아이템,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091317230500000096942.jpg
36,35993,1,댄디,23.09.18,"조회 1,480",[이동연 스타일리스트] 댄디 캐주얼,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091317200000000029346.jpg
37,35984,1,댄디,23.09.18,"조회 1,810",[정설 스타일리스트] 모노톤 스타일링,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091316424700000073261.jpg
38,35982,1,댄디,23.09.18,"조회 1,585",[정설 스타일리스트] 미니멀한 매력,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091316350900000032619.jpg
39,35980,1,댄디,23.09.18,"조회 1,364",[정설 스타일리스트] 멋스러운 연출,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091316252300000041734.jpg
40,35979,1,댄디,23.09.18,"조회 1,550",[정설 스타일리스트] 소개팅 룩,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091316221700000023086.jpg
41,35977,1,댄디,23.09.18,조회 908,[정설 스타일리스트] 데이트하는 날,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091316140800000046866.jpg
42,35975,1,댄디,23.09.18,조회 949,[정설 스타일리스트] 감각적인 조합,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091316054600000092997.jpg
43,36069,1,댄디,23.09.18,조회 755,환절기 패션,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811281000000064546.jpg
44,36068,1,댄디,23.09.18,"조회 1,399",가을 느낌 물씬,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811262800000033356.jpg
45,36066,1,댄디,23.09.18,조회 915,레더 재킷 활용법,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811234300000042530.jpg
46,36062,1,댄디,23.09.18,조회 540,댄디 룩 완성,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811161000000099223.jpg
47,36061,1,댄디,23.09.18,조회 447,미니멀하게,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811145500000057707.jpg
48,36060,1,댄디,23.09.18,조회 305,훈훈한 멋,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811132100000046984.jpg
49,35847,1,댄디,23.09.14,조회 859,[24SS 시즌 프리뷰] REFINED CASUAL,모델 : 지호,//image.msscdn.net/images/style/list/l_3_2023091211105700000098204.jpg
50,35838,1,댄디,23.09.14,조회 448,[24SS 시즌 프리뷰] GRUNGE REVIVAL,모델 : 백준영,//image.msscdn.net/images/style/list/l_3_2023091210504300000031703.jpg
51,35968,1,댄디,23.09.14,조회 320,[24SS 시즌 프리뷰] SOFT UTILITY,모델 : 지호,//image.msscdn.net/images/style/list/l_3_2023091309032900000045447.jpg
52,35958,1,댄디,23.09.14,조회 299,[24SS 시즌 프리뷰] SOFT UTILITY,모델 : 지호,//image.msscdn.net/images/style/list/l_3_2023091308522000000029556.jpg
53,35796,1,댄디,23.09.14,조회 248,[24SS 시즌 프리뷰] REFINED CASUAL,모델 : 황규창,//image.msscdn.net/images/style/list/l_3_2023091017034200000087937.jpg
54,35795,1,댄디,23.09.14,조회 168,[24SS 시즌 프리뷰] REFINED CASUAL,모델 : 황규창,//image.msscdn.net/images/style/list/l_3_2023091017031500000059577.jpg
55,35792,1,댄디,23.09.14,조회 359,[24SS 시즌 프리뷰] GRUNGE REVIVAL,모델 : 황규창,//image.msscdn.net/images/style/list/l_3_2023091017015300000039530.jpg
56,35791,1,댄디,23.09.14,조회 226,[24SS 시즌 프리뷰] REFINED CASUAL,모델 : 황규창,//image.msscdn.net/images/style/list/l_3_2023091017012200000060126.jpg
57,35788,1,댄디,23.09.14,조회 121,[24SS 시즌 프리뷰] REFINED CASUAL,모델 : 황규창,//image.msscdn.net/images/style/list/l_3_2023091017000200000091735.jpg
