,CODI_ID,PAGE_NUM,STYLE,DATE,VIEWS,TAG1,MODEL,CODI_IMG
0,36278,1,포멀,23.10.02,조회 778,[정진아 스타일리스트] 셋업으로 완성,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618123900000018020.jpg
1,36272,1,포멀,23.10.02,조회 700,[정진아 스타일리스트] 출근 룩의 정석,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618093300000069802.jpg
2,36244,1,포멀,23.09.29,"조회 1,366",[윤애리 스타일리스트] 미니멀 감성,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092608511400000029073.jpg
3,36240,1,포멀,23.09.29,조회 995,[윤애리 스타일리스트] 감각적이야,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092608393800000036376.jpg
4,36237,1,포멀,23.09.29,조회 245,[윤애리 스타일리스트] 차분한 컬러 매치,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092608305800000024219.jpg
5,36236,1,포멀,23.09.29,조회 366,[윤애리 스타일리스트] 세련된 실루엣,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092608274300000016574.jpg
6,36131,1,포멀,23.09.25,조회 290,[정설 스타일리스트] 올 블랙의 멋,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092111050800000021167.jpg
7,35928,1,포멀,23.09.18,조회 595,[윤애리 스타일리스트] 모노톤 패션,모델 : 한경현,//image.msscdn.net/images/style/list/l_3_2023091220554500000084491.jpg
8,35926,1,포멀,23.09.18,조회 784,[윤애리 스타일리스트] 미니멀 룩,모델 : 한경현,//image.msscdn.net/images/style/list/l_3_2023091220495100000002653.jpg
9,35920,1,포멀,23.09.18,조회 412,[윤애리 스타일리스트] 출근 룩의 정석,모델 : 한경현,//image.msscdn.net/images/style/list/l_3_2023091220312300000012816.jpg
10,35910,1,포멀,23.09.18,조회 547,[정진아 스타일리스트] 셋업의 매력,모델 : 한경현,//image.msscdn.net/images/style/list/l_3_2023091219500500000022129.jpg
11,36067,1,포멀,23.09.18,조회 638,세미 포멀 룩,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811251100000030557.jpg
12,36063,1,포멀,23.09.18,조회 595,트렌디한 출근 룩,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811175400000024318.jpg
13,36027,1,포멀,23.09.15,"조회 2,523",오늘의 출근 룩,모델 : 김채원,//image.msscdn.net/images/style/list/l_3_2023091416484700000037618.jpg
14,36024,1,포멀,23.09.15,"조회 1,281",포멀 코디네이션,모델 : 김채원,//image.msscdn.net/images/style/list/l_3_2023091416471000000096362.jpg
15,36023,1,포멀,23.09.15,조회 664,괜찮은 조합,모델 : 김채원,//image.msscdn.net/images/style/list/l_3_2023091416463700000075285.jpg
16,36017,1,포멀,23.09.15,조회 595,심플한 매치,모델 : 김채원,//image.msscdn.net/images/style/list/l_3_2023091416405900000073506.jpg
17,35797,1,포멀,23.09.14,조회 300,[24SS 시즌 프리뷰] REFINED CASUAL,모델 : 황규창,//image.msscdn.net/images/style/list/l_3_2023091017041100000019975.jpg
18,35785,1,포멀,23.09.14,조회 176,[24SS 시즌 프리뷰] REFINED CASUAL,모델 : 황규창,//image.msscdn.net/images/style/list/l_3_2023091016583200000079130.jpg
19,35889,1,포멀,23.09.13,조회 839,클래식 무드,모델 : 차하은,//image.msscdn.net/images/style/list/l_3_2023091217194300000099616.jpg
20,35888,1,포멀,23.09.13,조회 462,간결한 실루엣,모델 : 차하은,//image.msscdn.net/images/style/list/l_3_2023091217191800000056193.jpg
21,35887,1,포멀,23.09.13,조회 310,우아한 분위기,모델 : 차하은,//image.msscdn.net/images/style/list/l_3_2023091217183900000033828.jpg
22,35886,1,포멀,23.09.13,조회 736,올드머니 룩,모델 : 차하은,//image.msscdn.net/images/style/list/l_3_2023091217170500000094160.jpg
23,35655,1,포멀,23.09.11,"조회 2,341",[윤애리 스타일리스트] 올드머니 룩,모델 : 김태용,//image.msscdn.net/images/style/list/l_3_2023090716124800000090946.jpg
24,35811,1,포멀,23.09.11,조회 302,가을 느낌,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114344800000010645.jpg
25,35809,1,포멀,23.09.11,조회 600,포멀한 스타일,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114290500000072506.jpg
26,35804,1,포멀,23.09.11,조회 345,베스트 활용법,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114202800000063079.jpg
27,35800,1,포멀,23.09.11,조회 365,뉴트럴 톤 조합,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114140500000039479.jpg
28,35799,1,포멀,23.09.11,"조회 1,188",단정하게,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114122800000077905.jpg
29,35798,1,포멀,23.09.11,조회 634,모노톤 코디,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114082600000018473.jpg
30,35609,1,포멀,23.09.06,조회 485,돋보이는 매치,모델 : 김주연,//image.msscdn.net/images/style/list/l_3_2023090611152500000093587.jpg
31,35396,1,포멀,23.08.24,조회 619,포멀한 오피스 룩,모델 : 조지,//image.msscdn.net/images/style/list/l_3_2023082321591800000067722.jpg
32,35251,1,포멀,23.08.15,조회 434,담백한 룩,모델 : 전경주,//image.msscdn.net/images/style/list/l_3_2023081212332200000041418.jpg
33,35209,1,포멀,23.08.14,"조회 1,053",출근 룩 추천!,모델 : 박준성,//image.msscdn.net/images/style/list/l_3_2023081018441600000002528.jpg
34,35183,1,포멀,23.08.10,조회 667,심플한 매치,모델 : 심규리,//image.msscdn.net/images/style/list/l_3_2023081016275300000013408.jpg
35,35165,1,포멀,23.08.09,"조회 1,292",워너비 출근 룩,모델 : 김동준,//image.msscdn.net/images/style/list/l_3_2023080817392700000076221.jpg
36,34966,1,포멀,23.07.31,"조회 1,077",단정한 느낌,모델 : 김다미,//image.msscdn.net/images/style/list/l_3_2023072923591400000017614.jpg
37,34962,1,포멀,23.07.31,조회 579,심플한 멋,모델 : 김다미,//image.msscdn.net/images/style/list/l_3_2023072923481600000053004.jpg
38,34960,1,포멀,23.07.31,조회 638,간결한 실루엣,모델 : 김다미,//image.msscdn.net/images/style/list/l_3_2023072923434300000057407.jpg
39,34907,1,포멀,23.07.28,조회 884,단정한 멋,모델 : 김경준,//image.msscdn.net/images/style/list/l_3_2023072712483600000067759.jpg
40,34906,1,포멀,23.07.28,"조회 1,190",여름 출근 룩,모델 : 김경준,//image.msscdn.net/images/style/list/l_3_2023072712461600000044946.jpg
41,34807,1,포멀,23.07.25,"조회 1,134",심플한 매치,모델 : 임다비,//image.msscdn.net/images/style/list/l_3_2023072314022200000030242.jpg
42,34801,1,포멀,23.07.25,조회 469,출근 룩의 정석,모델 : 임다비,//image.msscdn.net/images/style/list/l_3_2023072313590800000082837.jpg
43,34788,1,포멀,23.07.25,조회 753,담백한 연출,모델 : 임다비,//image.msscdn.net/images/style/list/l_3_2023072313502700000053335.jpg
44,34480,1,포멀,23.07.24,"조회 1,442",[정진아 스타일리스트] 컨템포러리 우먼,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023072117250000000018917.jpg
