,CODI_ID,PAGE_NUM,STYLE,DATE,VIEWS,TAG1,MODEL,CODI_IMG
0,36380,1,걸리시,23.10.06,조회 228,후디 활용법,모델 : 신은지,//image.msscdn.net/images/style/list/l_3_2023100612513700000056529.jpg
1,36348,1,걸리시,23.10.06,조회 233,괜찮은 컬러 매치,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510320700000030621.jpg
2,36346,1,걸리시,23.10.06,조회 322,레더의 계절,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510280200000069710.jpg
3,36344,1,걸리시,23.10.06,조회 172,남다른 센스,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510230400000004205.jpg
4,36331,1,걸리시,23.10.06,조회 106,가을 여친 룩,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100509464500000051242.jpg
5,36246,1,걸리시,23.10.02,조회 437,[정설 스타일리스트] 유니크 스타일,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092609092800000031615.jpg
6,36266,1,걸리시,23.09.29,조회 706,워너비 스타일,모델 : 양지윤,//image.msscdn.net/images/style/list/l_3_2023092616375100000048309.jpg
7,36264,1,걸리시,23.09.29,조회 585,디테일에 주목!,모델 : 양지윤,//image.msscdn.net/images/style/list/l_3_2023092616370300000095591.jpg
8,36260,1,걸리시,23.09.29,"조회 1,139",위트를 더해,모델 : 양지윤,//image.msscdn.net/images/style/list/l_3_2023092616351000000083752.jpg
9,36259,1,걸리시,23.09.29,"조회 1,394",트렌디 조합,모델 : 양지윤,//image.msscdn.net/images/style/list/l_3_2023092616342300000039003.jpg
10,36256,1,걸리시,23.09.29,조회 810,프레피 룩,모델 : 양지윤,//image.msscdn.net/images/style/list/l_3_2023092616320800000028042.jpg
11,36255,1,걸리시,23.09.29,조회 575,클래식 감성,모델 : 양지윤,//image.msscdn.net/images/style/list/l_3_2023092616313700000080605.jpg
12,36191,1,걸리시,23.09.25,조회 506,[윤애리 스타일리스트] 가을 웨스턴 룩,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092214302100000067928.jpg
13,36184,1,걸리시,23.09.25,조회 422,[정진아 스타일리스트] 스쿨 룩,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092211473400000050278.jpg
14,36182,1,걸리시,23.09.25,조회 869,[정진아 스타일리스트] 통통 튀는 매력,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092211413700000036243.jpg
15,36177,1,걸리시,23.09.25,"조회 1,235",[정진아 스타일리스트] 가을 여친 룩,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092211332400000034061.jpg
16,36174,1,걸리시,23.09.25,조회 452,[정진아 스타일리스트] 빈티지 무드,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092211245100000082856.jpg
17,36211,1,걸리시,23.09.25,조회 697,한복 스타일링,모델 : 양지윤,//image.msscdn.net/images/style/list/l_3_2023092510181300000006898.jpg
18,36210,1,걸리시,23.09.25,조회 413,추석맞이,모델 : 양지윤,//image.msscdn.net/images/style/list/l_3_2023092510171800000063754.jpg
19,36160,1,걸리시,23.09.22,조회 746,스타일리시해!,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117221900000009728.jpg
20,36080,1,걸리시,23.09.22,조회 589,걸리시 룩,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091910183800000054509.jpg
21,36098,1,걸리시,23.09.20,조회 483,블랙 러버,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091911233900000041339.jpg
22,36096,1,걸리시,23.09.20,조회 972,오버 핏의 매력,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091911173300000040568.jpg
23,36091,1,걸리시,23.09.20,조회 845,카디건의 계절,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091910584900000096081.jpg
24,36088,1,걸리시,23.09.20,조회 969,그런지 스타일,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091910493100000030289.jpg
25,36087,1,걸리시,23.09.20,"조회 1,064",포인트 데일리 룩,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091910453100000041132.jpg
26,36086,1,걸리시,23.09.20,"조회 1,118",믹스 매치,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091910412900000057898.jpg
