,CODI_ID,PAGE_NUM,STYLE,DATE,VIEWS,TAG1,MODEL,CODI_IMG
0,35469,1,골프,23.08.28,조회 714,환절기 골프 룩,모델 : TOSHA,//image.msscdn.net/images/style/list/l_3_2023082815353700000027383.jpg
1,35468,1,골프,23.08.28,조회 613,라운딩의 계절,모델 : DARYA,//image.msscdn.net/images/style/list/l_3_2023082815350500000019319.jpg
2,35467,1,골프,23.08.28,조회 441,시선을 끄는,모델 : DARYA,//image.msscdn.net/images/style/list/l_3_2023082815343600000073477.jpg
3,35466,1,골프,23.08.28,조회 391,가을 무드,모델 : TOSHA,//image.msscdn.net/images/style/list/l_3_2023082815335700000000888.jpg
4,35455,1,골프,23.08.28,조회 291,분위기를 더해,모델 : DARYA,//image.msscdn.net/images/style/list/l_3_2023082815172200000042364.jpg
5,35453,1,골프,23.08.28,조회 248,쿨한 감각,모델 : TOSHA,//image.msscdn.net/images/style/list/l_3_2023082815160700000070703.jpg
6,34997,1,골프,23.08.01,조회 629,시선 집중 필드 룩,모델 : 김두경,//image.msscdn.net/images/style/list/l_3_2023080114114400000050353.jpg
7,34996,1,골프,23.08.01,조회 744,깔끔하게 완성,모델 : 김두경,//image.msscdn.net/images/style/list/l_3_2023080114103100000015065.jpg
8,34995,1,골프,23.08.01,조회 492,요즘 골프 룩,모델 : 김두경,//image.msscdn.net/images/style/list/l_3_2023080114091000000074121.jpg
9,34990,1,골프,23.08.01,조회 670,데일리 골프 웨어,모델 : 김두경,//image.msscdn.net/images/style/list/l_3_2023080113482700000054936.jpg
10,34989,1,골프,23.08.01,조회 427,산뜻한 매력,모델 : 김두경,//image.msscdn.net/images/style/list/l_3_2023080113464700000020143.jpg
11,34988,1,골프,23.08.01,조회 488,힙한 라운딩 룩,모델 : 김두경,//image.msscdn.net/images/style/list/l_3_2023080113445500000001020.jpg
12,34977,1,골프,23.07.31,조회 810,활동성 UP!,모델 : 김다미,//image.msscdn.net/images/style/list/l_3_2023073000292800000065186.jpg
13,34976,1,골프,23.07.31,조회 444,청량한 느낌,모델 : 김다미,//image.msscdn.net/images/style/list/l_3_2023073000270400000063038.jpg
14,34975,1,골프,23.07.31,조회 557,모노톤 매치,모델 : 김다미,//image.msscdn.net/images/style/list/l_3_2023073000244100000092604.jpg
15,34974,1,골프,23.07.31,조회 265,여름 필드 룩,모델 : 김다미,//image.msscdn.net/images/style/list/l_3_2023073000214300000002085.jpg
16,34959,1,골프,23.07.31,조회 555,산뜻한 조합,모델 : 김다미,//image.msscdn.net/images/style/list/l_3_2023072923404000000019985.jpg
17,34958,1,골프,23.07.31,조회 899,골프 웨어,모델 : 김다미,//image.msscdn.net/images/style/list/l_3_2023072923374100000051107.jpg
18,34799,1,골프,23.07.25,조회 523,가벼운 차림,모델 : 임다비,//image.msscdn.net/images/style/list/l_3_2023072313575500000060107.jpg
