,CODI_ID,PAGE_NUM,STYLE,DATE,VIEWS,TAG1,MODEL,CODI_IMG
0,36347,1,고프코어,23.10.06,조회 136,캠핑 즐기기,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510301500000064776.jpg
1,36345,1,고프코어,23.10.06,조회 237,유틸리티 웨어,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510252400000039956.jpg
2,36261,1,고프코어,23.09.29,조회 650,감각적인 매치,모델 : 양지윤,//image.msscdn.net/images/style/list/l_3_2023092616353500000098025.jpg
3,36004,1,고프코어,23.09.27,조회 580,환절기 고프코어,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023091415195400000029410.jpg
4,36295,1,고프코어,23.09.27,조회 836,그래픽 더하기,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092712174300000017100.jpg
5,36291,1,고프코어,23.09.27,조회 283,가을 고프코어 룩,모델 : 김보성,//image.msscdn.net/images/style/list/l_3_2023092711570000000047622.jpg
6,36230,1,고프코어,23.09.27,조회 669,고프코어 룩,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092516010300000087145.jpg
7,36229,1,고프코어,23.09.27,조회 340,가벼운 캠핑 룩,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092516003700000001503.jpg
8,36129,1,고프코어,23.09.25,조회 574,[이동연 스타일리스트] 테크 웨어,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092110553800000080872.jpg
9,36128,1,고프코어,23.09.25,조회 200,[이동연 스타일리스트] 편안한 매력,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023100509081100000019803.jpg
10,36127,1,고프코어,23.09.25,조회 468,[이동연 스타일리스트] 개성 만점,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092110493500000030306.jpg
11,36126,1,고프코어,23.09.25,조회 223,[이동연 스타일리스트] 캠핑 즐기는 법,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092110464900000036580.jpg
12,36125,1,고프코어,23.09.25,조회 359,[이동연 스타일리스트] 고프코어 스타일,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092110425700000033483.jpg
13,36124,1,고프코어,23.09.25,조회 319,[이동연 스타일리스트] 돋보이는 디테일,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092110400100000078412.jpg
14,36123,1,고프코어,23.09.25,조회 255,[이동연 스타일리스트] 아웃도어 패션,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092110365800000062252.jpg
15,36122,1,고프코어,23.09.25,조회 340,[이동연 스타일리스트] 벌룬 핏 실루엣,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023100509083700000058455.jpg
16,36121,1,고프코어,23.09.25,조회 277,[이동연 스타일리스트] 활동적인 날,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092110305000000082737.jpg
17,36120,1,고프코어,23.09.25,조회 269,[이동연 스타일리스트] 유틸리티 룩,모델 : 김승혁,//image.msscdn.net/images/style/list/l_3_2023092110271200000055135.jpg
18,36186,1,고프코어,23.09.22,"조회 1,235",아웃도어 룩,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092211553300000059181.jpg
19,36164,1,고프코어,23.09.22,조회 611,따라 하고 싶어,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117351600000070812.jpg
20,36162,1,고프코어,23.09.22,조회 234,여행 가자!,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117311800000085946.jpg
21,36157,1,고프코어,23.09.22,조회 286,고프코어 패션,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117155400000054654.jpg
22,36058,1,고프코어,23.09.18,"조회 1,103",고프코어 스타일,모델 : 소안,//image.msscdn.net/images/style/list/l_3_2023091809584200000041820.jpg
