,CODI_ID,PAGE_NUM,STYLE,DATE,VIEWS,TAG1,MODEL,CODI_IMG
0,36176,1,레트로,23.09.25,조회 348,[정진아 스타일리스트] 데님 레이어드,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092211311100000085945.jpg
1,34828,1,레트로,23.07.27,조회 591,페스티벌 패피,모델 : 안지우,//image.msscdn.net/images/style/list/l_3_2023072521111300000046877.jpg
2,32729,1,레트로,23.04.21,"조회 2,033",매력 뽐내기,모델 : 조수연,//image.msscdn.net/images/style/list/l_3_2023042013001500000012991.jpg
3,32563,1,레트로,23.04.13,"조회 2,246",데님 러버,모델 : 김채은,//image.msscdn.net/images/style/list/l_3_2023041211104900000051821.jpg
4,32487,1,레트로,23.04.10,조회 742,패셔니스타,모델 : 은하,//image.msscdn.net/images/style/list/l_3_2023041012060400000003516.jpg
5,32485,1,레트로,23.04.10,"조회 1,513",시선을 끄는,모델 : 은하,//image.msscdn.net/images/style/list/l_3_2023041012005200000041394.jpg
6,32366,1,레트로,23.04.03,조회 942,눈에 띄는 조합,모델 : 권수현,//image.msscdn.net/images/style/list/l_3_2023040312574700000008633.jpg
7,32318,1,레트로,23.03.30,"조회 1,423",에스닉 무드,모델 : 이채령,//image.msscdn.net/images/style/list/l_3_2023032916300000000000648.jpg
8,32209,1,레트로,23.03.23,"조회 1,273",남다른 센스,모델 : 윤유정,//image.msscdn.net/images/style/list/l_3_2023032216423200000032618.jpg
9,32206,1,레트로,23.03.23,조회 824,레트로 감성,모델 : 윤유정,//image.msscdn.net/images/style/list/l_3_2023032216402400000054468.jpg
10,32199,1,레트로,23.03.23,조회 616,빈티지 색감,모델 : 윤유정,//image.msscdn.net/images/style/list/l_3_2023032216365500000090567.jpg
11,32198,1,레트로,23.03.23,"조회 1,236",레이어드 연출,모델 : 윤유정,//image.msscdn.net/images/style/list/l_3_2023032216362700000059963.jpg
12,32138,1,레트로,23.03.20,"조회 1,627",독보적 스타일,모델 : 박승원,//image.msscdn.net/images/style/list/l_3_2023032010380100000003362.jpg
13,32137,1,레트로,23.03.20,"조회 1,735",Y2K 룩,모델 : 박승원,//image.msscdn.net/images/style/list/l_3_2023032010373500000090043.jpg
14,32062,1,레트로,23.03.16,"조회 1,458",유니크 무드,모델 : 배시윤,//image.msscdn.net/images/style/list/l_3_2023031510372000000085138.jpg
15,31870,1,레트로,23.03.02,조회 691,레트로 무드,모델 : 문지원,//image.msscdn.net/images/style/list/l_3_2023030212530800000041641.jpg
16,31838,1,레트로,23.03.01,"조회 1,958",워너비 스타일,모델 : 정지인,//image.msscdn.net/images/style/list/l_3_2023022715531700000041503.jpg
17,31844,1,레트로,23.02.27,조회 337,개성 만점,모델 : 이하진,//image.msscdn.net/images/style/list/l_3_2023022716542400000052553.jpg
18,31680,1,레트로,23.02.20,"조회 1,100",센스 더하기,모델 : 이수아,//image.msscdn.net/images/style/list/l_3_2023022011101000000028485.jpg
19,31630,1,레트로,23.02.16,조회 760,레트로 바이브,모델 : 유예린,//image.msscdn.net/images/style/list/l_3_2023021609493900000057348.jpg
20,31314,1,레트로,23.01.26,"조회 1,778",트렌디한 매치,모델 : 줄리,//image.msscdn.net/images/style/list/l_3_2023012616503600000097708.jpg
21,31173,1,레트로,23.01.18,"조회 1,041",매력 뽐내기,모델 : 임다비,//image.msscdn.net/images/style/list/l_3_2023011815562300000001983.jpg
22,30994,1,레트로,23.01.09,조회 871,레트로 시크,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023010908291600000064035.jpg
23,30966,1,레트로,23.01.05,조회 813,남다른 매치,모델 : 한규리,//image.msscdn.net/images/style/list/l_3_2023010515350800000048622.jpg
24,30963,1,레트로,23.01.05,"조회 1,277",넘치는 매력,모델 : 한규리,//image.msscdn.net/images/style/list/l_3_2023010515343500000007742.jpg
25,30762,1,레트로,22.12.26,조회 748,개성 뽐내기,모델 : 이윤지,//image.msscdn.net/images/style/list/l_3_2022122611382800000091389.jpg
26,30681,1,레트로,22.12.19,"조회 2,003",빈티지 감성,모델 : 유채림,//image.msscdn.net/images/style/list/l_3_2022121911570300000002610.jpg
27,30316,1,레트로,22.11.30,조회 975,레트로 무드,모델 : 이혜빈,//image.msscdn.net/images/style/list/l_3_2022113010134600000019231.jpg
28,30052,1,레트로,22.11.16,"조회 1,212",톡톡 튀는 매력,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2022111510322400000076081.jpg
29,30003,1,레트로,22.11.10,"조회 4,932",빈티지한 멋,모델 : 김정아,//image.msscdn.net/images/style/list/l_3_2022111013355900000042095.jpg
30,29867,1,레트로,22.11.03,"조회 1,101",분위기 가득!,모델 : 김다미,//image.msscdn.net/images/style/list/l_3_2022110212000000000056244.jpg
31,29865,1,레트로,22.11.03,"조회 1,252",시크한 자태,모델 : 김다미,//image.msscdn.net/images/style/list/l_3_2022110211583600000048330.jpg
32,29841,1,레트로,22.11.02,"조회 1,256",프렌치 감성,모델 : 류윤주,//image.msscdn.net/images/style/list/l_3_2022110211174500000005954.jpg
33,29024,1,레트로,22.09.15,"조회 1,621",빈티지한 멋,모델 : 신은지,//image.msscdn.net/images/style/list/l_3_2022091510545700000018135.jpg
34,28636,1,레트로,22.08.26,"조회 3,346",Y2K 패션,모델 : 한승민,//image.msscdn.net/images/style/list/l_3_2022082517171500000062051.jpg
35,28257,1,레트로,22.08.08,"조회 2,084",Y2K 감성,모델 : 김정은,//image.msscdn.net/images/style/list/l_3_2022080810101000000067203.jpg
