,CODI_ID,PAGE_NUM,STYLE,DATE,VIEWS,TAG1,MODEL,CODI_IMG
0,36349,1,로맨틱,23.10.06,조회 148,데이트 하는 날,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510344600000033937.jpg
1,36330,1,로맨틱,23.10.06,조회 83,롱부츠 코디,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100509372100000087562.jpg
2,36239,1,로맨틱,23.09.29,조회 393,[윤애리 스타일리스트] 클래식 스타일,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092608360400000060848.jpg
3,36269,1,로맨틱,23.09.29,조회 812,컬러 포인트,모델 : 양지윤,//image.msscdn.net/images/style/list/l_3_2023092616390000000090401.jpg
4,36181,1,로맨틱,23.09.25,조회 793,[정진아 스타일리스트] 특별한 연출,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092211385300000017705.jpg
5,36083,1,로맨틱,23.09.21,조회 611,주말 데이트 룩,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091910301700000095495.jpg
6,36094,1,로맨틱,23.09.20,조회 775,가을 색감,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091911112200000011974.jpg
7,35919,1,로맨틱,23.09.18,조회 813,[정진아 스타일리스트] 도회적 이미지,모델 : 한경현,//image.msscdn.net/images/style/list/l_3_2023091220252100000026551.jpg
8,35915,1,로맨틱,23.09.18,조회 693,[정진아 스타일리스트] 단아한 분위기,모델 : 한경현,//image.msscdn.net/images/style/list/l_3_2023091220143700000080230.jpg
9,35911,1,로맨틱,23.09.18,조회 465,[정진아 스타일리스트] 데님 포인트,모델 : 한경현,//image.msscdn.net/images/style/list/l_3_2023091219574300000072604.jpg
10,36045,1,로맨틱,23.09.18,조회 244,트위드 연출법,모델 : 소안,//image.msscdn.net/images/style/list/l_3_2023091809540200000025786.jpg
11,36043,1,로맨틱,23.09.18,조회 237,감각적인 코디,모델 : 소안,//image.msscdn.net/images/style/list/l_3_2023091809531800000017839.jpg
12,36040,1,로맨틱,23.09.18,조회 825,차분한 무드,모델 : 소안,//image.msscdn.net/images/style/list/l_3_2023091809493200000093183.jpg
13,36029,1,로맨틱,23.09.15,조회 905,로맨틱한 연출,모델 : 김채원,//image.msscdn.net/images/style/list/l_3_2023091416512200000094073.jpg
14,36026,1,로맨틱,23.09.15,조회 837,데이트 하는 날,모델 : 김채원,//image.msscdn.net/images/style/list/l_3_2023091416481600000027892.jpg
15,36025,1,로맨틱,23.09.15,조회 331,워너비 코디,모델 : 김채원,//image.msscdn.net/images/style/list/l_3_2023091416474200000039601.jpg
16,36021,1,로맨틱,23.09.15,조회 696,셔츠 스타일링,모델 : 김채원,//image.msscdn.net/images/style/list/l_3_2023091416450800000004464.jpg
17,35891,1,로맨틱,23.09.13,"조회 2,271",가을 느낌,모델 : 차하은,//image.msscdn.net/images/style/list/l_3_2023091217203600000065840.jpg
18,35890,1,로맨틱,23.09.13,조회 592,돋보이는 아웃핏,모델 : 차하은,//image.msscdn.net/images/style/list/l_3_2023091217201000000072033.jpg
19,35885,1,로맨틱,23.09.13,조회 733,카디건 활용법,모델 : 차하은,//image.msscdn.net/images/style/list/l_3_2023091217163500000064140.jpg
20,35884,1,로맨틱,23.09.13,조회 397,뉴트럴 톤,모델 : 차하은,//image.msscdn.net/images/style/list/l_3_2023091217160600000009024.jpg
21,35883,1,로맨틱,23.09.13,조회 652,독보적 존재감,모델 : 차하은,//image.msscdn.net/images/style/list/l_3_2023091217154000000044779.jpg
22,35882,1,로맨틱,23.09.13,조회 470,감각적인 데일리 룩,모델 : 차하은,//image.msscdn.net/images/style/list/l_3_2023091217151200000055863.jpg
23,35881,1,로맨틱,23.09.13,조회 454,특별한 하루,모델 : 차하은,//image.msscdn.net/images/style/list/l_3_2023091217144400000001990.jpg
24,35880,1,로맨틱,23.09.13,조회 773,로맨틱 룩,모델 : 차하은,//image.msscdn.net/images/style/list/l_3_2023091217141400000070358.jpg
25,35635,1,로맨틱,23.09.11,조회 353,[정진아 스타일리스트] 차분한 조합,모델 : 김지호,//image.msscdn.net/images/style/list/l_3_2023090709312700000033442.jpg
26,35634,1,로맨틱,23.09.11,조회 599,[정진아 스타일리스트] 화사한 컬러,모델 : 김지호,//image.msscdn.net/images/style/list/l_3_2023090709280800000005616.jpg
27,35633,1,로맨틱,23.09.11,조회 696,[정진아 스타일리스트] 클래식 무드,모델 : 김지호,//image.msscdn.net/images/style/list/l_3_2023090709250500000073193.jpg
28,35632,1,로맨틱,23.09.11,"조회 1,758",[정진아 스타일리스트] 가을 하객 패션,모델 : 김지호,//image.msscdn.net/images/style/list/l_3_2023090709214200000008315.jpg
29,35631,1,로맨틱,23.09.11,조회 789,[정진아 스타일리스트] 시선을 끄는,모델 : 김지호,//image.msscdn.net/images/style/list/l_3_2023090709170200000015669.jpg
30,35630,1,로맨틱,23.09.11,조회 455,[정진아 스타일리스트] 스타일리시해,모델 : 김지호,//image.msscdn.net/images/style/list/l_3_2023090709131300000068112.jpg
31,35629,1,로맨틱,23.09.11,조회 393,[정진아 스타일리스트] 트위드 원피스 코디,모델 : 김지호,//image.msscdn.net/images/style/list/l_3_2023090709093900000079611.jpg
32,35628,1,로맨틱,23.09.11,조회 733,[정진아 스타일리스트] 로맨틱 하객 룩,모델 : 김지호,//image.msscdn.net/images/style/list/l_3_2023090709002600000008112.jpg
33,35627,1,로맨틱,23.09.11,조회 876,[정진아 스타일리스트] 데이트 스타일링,모델 : 김지호,//image.msscdn.net/images/style/list/l_3_2023090708545400000081882.jpg
34,35626,1,로맨틱,23.09.11,조회 960,[정진아 스타일리스트] 블랙 & 화이트,모델 : 김지호,//image.msscdn.net/images/style/list/l_3_2023090708494500000046048.jpg
35,35812,1,로맨틱,23.09.11,조회 468,로맨틱한 연출,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114372400000097168.jpg
36,35810,1,로맨틱,23.09.11,조회 345,블레이저로 즐기기,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114330600000035580.jpg
37,35807,1,로맨틱,23.09.11,조회 280,센스 있는 레이어드,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114255400000034046.jpg
38,35805,1,로맨틱,23.09.11,조회 247,트위드로 멋 내기,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114222500000076400.jpg
39,35803,1,로맨틱,23.09.11,조회 439,심플한 멋,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114182500000076410.jpg
40,35802,1,로맨틱,23.09.11,조회 208,로맨틱 무드,모델 : 송혜원,//image.msscdn.net/images/style/list/l_3_2023091114165100000064669.jpg
41,35612,1,로맨틱,23.09.06,조회 392,쿨한 매치,모델 : 김주연,//image.msscdn.net/images/style/list/l_3_2023090611265900000097031.jpg
42,35278,1,로맨틱,23.08.30,조회 748,담백한 무드,모델 : 도아,//image.msscdn.net/images/style/list/l_3_2023082815531300000054409.jpg
