,CODI_ID,PAGE_NUM,STYLE,DATE,VIEWS,TAG1,MODEL,CODI_IMG
0,36114,1,스포츠,23.09.20,조회 685,스포티한 매력,모델 : 김명표,//image.msscdn.net/images/style/list/l_3_2023092012285700000097921.jpg
1,36073,1,스포츠,23.09.18,"조회 5,077",스포티하게,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811382000000045147.jpg
2,36053,1,스포츠,23.09.18,조회 691,스포츠 웨어,모델 : 소안,//image.msscdn.net/images/style/list/l_3_2023091809570300000073317.jpg
3,35845,1,스포츠,23.09.14,조회 327,[24SS 시즌 프리뷰] SPORTSCATION,모델 : 지호,//image.msscdn.net/images/style/list/l_3_2023091211070900000031143.jpg
4,35707,1,스포츠,23.09.14,조회 146,[24SS 시즌 프리뷰] SPORTSCATION,모델 : 장다니엘,//image.msscdn.net/images/style/list/l_3_2023090815241500000078171.jpg
5,35879,1,스포츠,23.09.12,조회 120,스포티하게,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091214433400000093772.jpg
6,35878,1,스포츠,23.09.12,조회 147,운동하러 가자,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091214401400000039861.jpg
7,35877,1,스포츠,23.09.12,조회 125,활동성 UP!,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091214375600000042750.jpg
8,35876,1,스포츠,23.09.12,조회 142,애슬레저 끝판왕,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091214350800000059811.jpg
9,35875,1,스포츠,23.09.12,조회 155,셋업 즐기기,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091214291000000099763.jpg
10,35874,1,스포츠,23.09.12,조회 71,레깅스 코디,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091214245700000032625.jpg
11,35873,1,스포츠,23.09.12,조회 251,스포츠 캐주얼,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091214201700000068685.jpg
12,35872,1,스포츠,23.09.12,조회 52,오운완,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091214170600000063273.jpg
13,35871,1,스포츠,23.09.12,조회 193,올 블랙 스타일링,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091214131200000043115.jpg
14,35870,1,스포츠,23.09.12,조회 255,편하게 멋내기,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091214092200000009520.jpg
15,35869,1,스포츠,23.09.12,조회 78,스포티 무드,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091214061900000012412.jpg
16,35868,1,스포츠,23.09.12,조회 91,편안한 연출,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091213045000000039256.jpg
17,35867,1,스포츠,23.09.12,조회 241,운동하러 가자,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091212575300000066345.jpg
18,35866,1,스포츠,23.09.12,조회 57,가볍고 멋스럽게,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091212510500000013927.jpg
19,35865,1,스포츠,23.09.12,조회 75,활동적인 날,모델 : KATE,//image.msscdn.net/images/style/list/l_3_2023091212442900000068453.jpg
20,35864,1,스포츠,23.09.12,조회 121,실패 없는 조합,모델 : JONA.P,//image.msscdn.net/images/style/list/l_3_2023091212011800000071676.jpg
21,35863,1,스포츠,23.09.12,조회 136,올 블랙 코디,모델 : JONA.P,//image.msscdn.net/images/style/list/l_3_2023091212001200000058130.jpg
22,35862,1,스포츠,23.09.12,조회 170,후드 티셔츠 활용법,모델 : JONA.P,//image.msscdn.net/images/style/list/l_3_2023091211591000000076602.jpg
