,CODI_ID,PAGE_NUM,STYLE,DATE,VIEWS,TAG1,MODEL,CODI_IMG
0,36343,1,스트릿,23.10.06,조회 195,힙한 분위기,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510211000000006069.jpg
1,36336,1,스트릿,23.10.06,조회 106,대세 스타일,모델 : 다은,//image.msscdn.net/images/style/list/l_3_2023100510031000000026961.jpg
2,36289,1,스트릿,23.10.02,조회 662,[이동연 스타일리스트] 스트릿한 매력,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618183900000083470.jpg
3,36287,1,스트릿,23.10.02,조회 587,[이동연 스타일리스트] 믹스 앤 매치,모델 : 최성진,//image.msscdn.net/images/style/list/l_3_2023092618173800000018785.jpg
4,36249,1,스트릿,23.10.02,조회 228,[정설 스타일리스트] 포인트 찾기,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092609201000000033223.jpg
5,36248,1,스트릿,23.10.02,조회 307,[정설 스타일리스트] 블랙&화이트,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092609162300000088105.jpg
6,36245,1,스트릿,23.10.02,조회 773,[정설 스타일리스트] 시선 집중!,모델 : 서성진,//image.msscdn.net/images/style/list/l_3_2023092609064700000041032.jpg
7,36226,1,스트릿,23.09.27,조회 562,HIP!,모델 : 진킴,//image.msscdn.net/images/style/list/l_3_2023092515590100000057322.jpg
8,36189,1,스트릿,23.09.25,조회 823,[윤애리 스타일리스트] 쿨하게 입어줘,모델 : 최지원,//image.msscdn.net/images/style/list/l_3_2023092214235300000039988.jpg
9,36204,1,스트릿,23.09.22,"조회 1,081",HIP!,모델 : 박석민,//image.msscdn.net/images/style/list/l_3_2023092215084800000054271.jpg
10,36169,1,스트릿,23.09.22,조회 380,트렌디한 무드,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117462800000079677.jpg
11,36168,1,스트릿,23.09.22,조회 568,힙하고 트렌디해!,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117433700000031684.jpg
12,36167,1,스트릿,23.09.22,조회 517,멋스러워,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117413200000072446.jpg
13,36159,1,스트릿,23.09.22,조회 286,유니크한 데님,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117201500000061888.jpg
14,36158,1,스트릿,23.09.22,조회 334,매력적이야,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117180100000013346.jpg
15,36156,1,스트릿,23.09.22,조회 689,힙해!,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117135700000017350.jpg
16,36155,1,스트릿,23.09.22,조회 513,시크해 보여,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117112300000023240.jpg
17,36151,1,스트릿,23.09.22,조회 781,톤온톤 룩,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092117015900000055066.jpg
18,36150,1,스트릿,23.09.22,조회 549,스트릿 스타일링,모델 : 권수희,//image.msscdn.net/images/style/list/l_3_2023092116591600000091683.jpg
19,36089,1,스트릿,23.09.20,조회 765,유니크한 매치,모델 : 김진령,//image.msscdn.net/images/style/list/l_3_2023091910523900000043589.jpg
20,35986,1,스트릿,23.09.18,조회 784,[이동연 스타일리스트] 힙하게,모델 : 시엘 이소노,//image.msscdn.net/images/style/list/l_3_2023091316534900000010887.jpg
21,36078,1,스트릿,23.09.18,"조회 2,924",스트릿 무드,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811462700000098369.jpg
22,36070,1,스트릿,23.09.18,"조회 1,307",워너비 블록코어,모델 : 이신혁,//image.msscdn.net/images/style/list/l_3_2023091811293300000082909.jpg
23,36055,1,스트릿,23.09.18,조회 380,트렌디한 아웃핏,모델 : 소안,//image.msscdn.net/images/style/list/l_3_2023091809574100000059248.jpg
24,36052,1,스트릿,23.09.18,조회 462,블록 코어,모델 : 소안,//image.msscdn.net/images/style/list/l_3_2023091809564200000082295.jpg
25,36050,1,스트릿,23.09.18,조회 565,키 컬러,모델 : 소안,//image.msscdn.net/images/style/list/l_3_2023091809555700000012601.jpg
